n	e2	k2	con	ratio
3000	0.1	0.1	1	0.05
3000	0.1	0.1	2	0.05
3000	0.1	0.1	3	0.05
3000	0.1	0.1	4	0.05
3000	0.04	0.1	1	0.05
3000	0.04	0.1	2	0.05
3000	0.04	0.1	3	0.05
3000	0.04	0.1	4	0.05
3000	0.1	0.04	1	0.05
3000	0.1	0.04	2	0.05
3000	0.1	0.04	3	0.05
3000	0.1	0.04	4	0.05
3000	0.01	0.1	1	0.05
3000	0.01	0.1	2	0.05
3000	0.01	0.1	3	0.05
3000	0.01	0.1	4	0.05
3000	0.1	0.01	1	0.05
3000	0.1	0.01	2	0.05
3000	0.1	0.01	3	0.05
3000	0.1	0.01	4	0.05
6000	0.1	0.1	1	0.05
6000	0.1	0.1	2	0.05
6000	0.1	0.1	3	0.05
6000	0.1	0.1	4	0.05
6000	0.04	0.1	1	0.05
6000	0.04	0.1	2	0.05
6000	0.04	0.1	3	0.05
6000	0.04	0.1	4	0.05
6000	0.1	0.04	1	0.05
6000	0.1	0.04	2	0.05
6000	0.1	0.04	3	0.05
6000	0.1	0.04	4	0.05
6000	0.01	0.1	1	0.05
6000	0.01	0.1	2	0.05
6000	0.01	0.1	3	0.05
6000	0.01	0.1	4	0.05
6000	0.1	0.01	1	0.05
6000	0.1	0.01	2	0.05
6000	0.1	0.01	3	0.05
6000	0.1	0.01	4	0.05
9000	0.1	0.1	1	0.05
9000	0.1	0.1	2	0.05
9000	0.1	0.1	3	0.05
9000	0.1	0.1	4	0.05
9000	0.04	0.1	1	0.05
9000	0.04	0.1	2	0.05
9000	0.04	0.1	3	0.05
9000	0.04	0.1	4	0.05
9000	0.1	0.04	1	0.05
9000	0.1	0.04	2	0.05
9000	0.1	0.04	3	0.05
9000	0.1	0.04	4	0.05
9000	0.01	0.1	1	0.05
9000	0.01	0.1	2	0.05
9000	0.01	0.1	3	0.05
9000	0.01	0.1	4	0.05
9000	0.1	0.01	1	0.05
9000	0.1	0.01	2	0.05
9000	0.1	0.01	3	0.05
9000	0.1	0.01	4	0.05
12000	0.1	0.1	1	0.05
12000	0.1	0.1	2	0.05
12000	0.1	0.1	3	0.05
12000	0.1	0.1	4	0.05
12000	0.04	0.1	1	0.05
12000	0.04	0.1	2	0.05
12000	0.04	0.1	3	0.05
12000	0.04	0.1	4	0.05
12000	0.1	0.04	1	0.05
12000	0.1	0.04	2	0.05
12000	0.1	0.04	3	0.05
12000	0.1	0.04	4	0.05
12000	0.01	0.1	1	0.05
12000	0.01	0.1	2	0.05
12000	0.01	0.1	3	0.05
12000	0.01	0.1	4	0.05
12000	0.1	0.01	1	0.05
12000	0.1	0.01	2	0.05
12000	0.1	0.01	3	0.05
12000	0.1	0.01	4	0.05
3000	0.1	0.1	1	0.1
3000	0.1	0.1	2	0.1
3000	0.1	0.1	3	0.1
3000	0.1	0.1	4	0.1
3000	0.04	0.1	1	0.1
3000	0.04	0.1	2	0.1
3000	0.04	0.1	3	0.1
3000	0.04	0.1	4	0.1
3000	0.1	0.04	1	0.1
3000	0.1	0.04	2	0.1
3000	0.1	0.04	3	0.1
3000	0.1	0.04	4	0.1
3000	0.01	0.1	1	0.1
3000	0.01	0.1	2	0.1
3000	0.01	0.1	3	0.1
3000	0.01	0.1	4	0.1
3000	0.1	0.01	1	0.1
3000	0.1	0.01	2	0.1
3000	0.1	0.01	3	0.1
3000	0.1	0.01	4	0.1
6000	0.1	0.1	1	0.1
6000	0.1	0.1	2	0.1
6000	0.1	0.1	3	0.1
6000	0.1	0.1	4	0.1
6000	0.04	0.1	1	0.1
6000	0.04	0.1	2	0.1
6000	0.04	0.1	3	0.1
6000	0.04	0.1	4	0.1
6000	0.1	0.04	1	0.1
6000	0.1	0.04	2	0.1
6000	0.1	0.04	3	0.1
6000	0.1	0.04	4	0.1
6000	0.01	0.1	1	0.1
6000	0.01	0.1	2	0.1
6000	0.01	0.1	3	0.1
6000	0.01	0.1	4	0.1
6000	0.1	0.01	1	0.1
6000	0.1	0.01	2	0.1
6000	0.1	0.01	3	0.1
6000	0.1	0.01	4	0.1
9000	0.1	0.1	1	0.1
9000	0.1	0.1	2	0.1
9000	0.1	0.1	3	0.1
9000	0.1	0.1	4	0.1
9000	0.04	0.1	1	0.1
9000	0.04	0.1	2	0.1
9000	0.04	0.1	3	0.1
9000	0.04	0.1	4	0.1
9000	0.1	0.04	1	0.1
9000	0.1	0.04	2	0.1
9000	0.1	0.04	3	0.1
9000	0.1	0.04	4	0.1
9000	0.01	0.1	1	0.1
9000	0.01	0.1	2	0.1
9000	0.01	0.1	3	0.1
9000	0.01	0.1	4	0.1
9000	0.1	0.01	1	0.1
9000	0.1	0.01	2	0.1
9000	0.1	0.01	3	0.1
9000	0.1	0.01	4	0.1
12000	0.1	0.1	1	0.1
12000	0.1	0.1	2	0.1
12000	0.1	0.1	3	0.1
12000	0.1	0.1	4	0.1
12000	0.04	0.1	1	0.1
12000	0.04	0.1	2	0.1
12000	0.04	0.1	3	0.1
12000	0.04	0.1	4	0.1
12000	0.1	0.04	1	0.1
12000	0.1	0.04	2	0.1
12000	0.1	0.04	3	0.1
12000	0.1	0.04	4	0.1
12000	0.01	0.1	1	0.1
12000	0.01	0.1	2	0.1
12000	0.01	0.1	3	0.1
12000	0.01	0.1	4	0.1
12000	0.1	0.01	1	0.1
12000	0.1	0.01	2	0.1
12000	0.1	0.01	3	0.1
12000	0.1	0.01	4	0.1
