n e2 k2 con
3000 0.1 0.1 1
3000 0.1 0.1 2
3000 0.1 0.1 3
3000 0.1 0.1 4
3000 0.04 0.1 1
3000 0.04 0.1 2
3000 0.04 0.1 3
3000 0.04 0.1 4
3000 0.1 0.04 1
3000 0.1 0.04 2
3000 0.1 0.04 3
3000 0.1 0.04 4
3000 0.01 0.1 1
3000 0.01 0.1 2
3000 0.01 0.1 3
3000 0.01 0.1 4
3000 0.1 0.01 1
3000 0.1 0.01 2
3000 0.1 0.01 3
3000 0.1 0.01 4
6000 0.1 0.1 1
6000 0.1 0.1 2
6000 0.1 0.1 3
6000 0.1 0.1 4
6000 0.04 0.1 1
6000 0.04 0.1 2
6000 0.04 0.1 3
6000 0.04 0.1 4
6000 0.1 0.04 1
6000 0.1 0.04 2
6000 0.1 0.04 3
6000 0.1 0.04 4
6000 0.01 0.1 1
6000 0.01 0.1 2
6000 0.01 0.1 3
6000 0.01 0.1 4
6000 0.1 0.01 1
6000 0.1 0.01 2
6000 0.1 0.01 3
6000 0.1 0.01 4
9000 0.1 0.1 1
9000 0.1 0.1 2
9000 0.1 0.1 3
9000 0.1 0.1 4
9000 0.04 0.1 1
9000 0.04 0.1 2
9000 0.04 0.1 3
9000 0.04 0.1 4
9000 0.1 0.04 1
9000 0.1 0.04 2
9000 0.1 0.04 3
9000 0.1 0.04 4
9000 0.01 0.1 1
9000 0.01 0.1 2
9000 0.01 0.1 3
9000 0.01 0.1 4
9000 0.1 0.01 1
9000 0.1 0.01 2
9000 0.1 0.01 3
9000 0.1 0.01 4
12000 0.1 0.1 1
12000 0.1 0.1 2
12000 0.1 0.1 3
12000 0.1 0.1 4
12000 0.04 0.1 1
12000 0.04 0.1 2
12000 0.04 0.1 3
12000 0.04 0.1 4
12000 0.1 0.04 1
12000 0.1 0.04 2
12000 0.1 0.04 3
12000 0.1 0.04 4
12000 0.01 0.1 1
12000 0.01 0.1 2
12000 0.01 0.1 3
12000 0.01 0.1 4
12000 0.1 0.01 1
12000 0.1 0.01 2
12000 0.1 0.01 3
12000 0.1 0.01 4

